anyo,fecha_exportacion,ensenanza,curso,codigo,nombre_cas,nombre_val
2022,19/10/2023 16:11:57,5,2837626368,TU01CF,Tutoría Primero,Tutoria Primer
2022,19/10/2023 16:11:57,5,2837626368,CV0001,Inglés Técnico I-M / Horario reservado para la docencia en inglés,Anglés Tècnic I-M / Horari reservat per a la docència en anglés
2022,19/10/2023 16:11:57,5,2837626368,0156,Inglés,Anglés
2022,19/10/2023 16:11:57,5,2837626368,1226,Marketing en la actividad comercial,Màrqueting en l'activitat comercial
2022,19/10/2023 16:11:57,5,2837626368,1229,Gestión de compras,Gestió de compres
2022,19/10/2023 16:11:57,5,2837626368,1231,Dinamización del punto de venta,Dinamització del punt de venda
2022,19/10/2023 16:11:57,5,2837626368,1232,Procesos de venta,Processos de venda
2022,19/10/2023 16:11:57,5,2837626368,1233,Aplicaciones informáticas para el comercio,Aplicacions informàtiques per al comerç
2022,19/10/2023 16:11:57,5,2837626368,1236,Formación y orientación laboral,Formació i orientació laboral
2022,19/10/2023 16:11:57,5,2837626375,TU02CF,Tutoría Segundo,Tutoria Segon
2022,19/10/2023 16:11:57,5,2837626375,CV0002,Inglés Técnico II-M / Horario reservado para la docencia en inglés,Anglés Tècnic II-M / Horari reservat per a la docència en anglés
2022,19/10/2023 16:11:57,5,2837626375,1227,Gestión de un pequeño comercio,Gestió d'un xicotet comerç
2022,19/10/2023 16:11:57,5,2837626375,1228,Técnicas de almacén,Tècniques de magatzem
2022,19/10/2023 16:11:57,5,2837626375,1230,Venta técnica,Venda tècnica
2022,19/10/2023 16:11:57,5,2837626375,1234,Servicios de atención comercial,Servicis d'atenció comercial
2022,19/10/2023 16:11:57,5,2837626375,1235,Comercio electrónico,Comerç electrònic
2022,19/10/2023 16:11:57,5,2837626375,1237,Formación en centros de trabajo,Formació en centres de treball
2022,19/10/2023 16:11:57,5,2837626443,TU02CF,Tutoría Segundo,Tutoria Segon
2022,19/10/2023 16:11:57,5,2837626443,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,Anglés Tècnic II-S / Horari reservat per a la docència en anglés
