anyo,fecha_exportacion,evaluacion,alumno,ensenanza,curso,contenido,bloque_contenido,nota_numerica,tipo_nota,observacion,capacidades_inf,medidas_inf,borrar,sobreescribir
2022,19/10/2023 16:11:33,01,889726402909de5b29fce2e60e5cd4812c20e773c419c52df505d187c3d5918c,5,2837625936,0176, ,6,146988243, , , ,N,N
2022,19/10/2023 16:11:33,01,889726402909de5b29fce2e60e5cd4812c20e773c419c52df505d187c3d5918c,5,2837625936,0175, ,7,360492991, , , ,N,N
2022,19/10/2023 16:11:33,01,889726402909de5b29fce2e60e5cd4812c20e773c419c52df505d187c3d5918c,5,2837625936,0178, ,3,146988241, , , ,N,N
2022,19/10/2023 16:11:33,01,bee2b3635bc88636a3f7dd6615d9b05dd2971b124aa7fc86b8e1922c1667435d,5,2837625936,0176, ,7,360492991, , , ,N,N
2022,19/10/2023 16:11:33,01,bee2b3635bc88636a3f7dd6615d9b05dd2971b124aa7fc86b8e1922c1667435d,5,2837625936,CV0004, ,0,146988218, , , ,N,N
2022,19/10/2023 16:11:33,01,bee2b3635bc88636a3f7dd6615d9b05dd2971b124aa7fc86b8e1922c1667435d,5,2837625936,0175, ,2,146988240, , , ,N,N
2022,19/10/2023 16:11:33,01,bee2b3635bc88636a3f7dd6615d9b05dd2971b124aa7fc86b8e1922c1667435d,5,2837625936,0178, ,5,146988215, , , ,N,N
2022,19/10/2023 16:11:33,01,c9e8f853c4217ab715c871eb07555eb333f8a8ef890c86dba5130a363faa199d,5,2837625936,0180, ,9,146988217, , , ,N,N
2022,19/10/2023 16:11:33,01,29b0b4064619bc13176ff6b667a72c95a305a9017bfe9852f539bf55f573707d,5,2837625936,0180, ,4,146988242, , , ,N,N
2022,19/10/2023 16:11:33,01,29b0b4064619bc13176ff6b667a72c95a305a9017bfe9852f539bf55f573707d,5,2837625936,CV0004, ,4,146988242, , , ,N,N
2022,19/10/2023 16:11:33,01,29b0b4064619bc13176ff6b667a72c95a305a9017bfe9852f539bf55f573707d,5,2837625936,0175, ,0,146988218, , , ,N,N
2022,19/10/2023 16:11:33,01,29b0b4064619bc13176ff6b667a72c95a305a9017bfe9852f539bf55f573707d,5,2837625936,0178, ,0,146988218, , , ,N,N
2022,19/10/2023 16:11:33,01,29b0b4064619bc13176ff6b667a72c95a305a9017bfe9852f539bf55f573707d,5,2837625936,0176, ,4,146988242, ,No hay datos guardados,No hay datos guardados,N,N
2022,19/10/2023 16:11:33,01,29b0b4064619bc13176ff6b667a72c95a305a9017bfe9852f539bf55f573707d,5,2837625936,0183, ,1,146988239, , , ,N,N
2022,19/10/2023 16:11:33,01,163342b903c0b68b3f0043c87693b2b72de9fa0df5d4d0e112b5b1a61f42f718,5,2837625936,0180, ,9,146988217, , , ,N,N
2022,19/10/2023 16:11:33,01,163342b903c0b68b3f0043c87693b2b72de9fa0df5d4d0e112b5b1a61f42f718,5,2837625936,CV0004, ,8,146988244, , , ,N,N
2022,19/10/2023 16:11:33,01,163342b903c0b68b3f0043c87693b2b72de9fa0df5d4d0e112b5b1a61f42f718,5,2837625936,0175, ,6,146988243, , , ,N,N
2022,19/10/2023 16:11:33,01,163342b903c0b68b3f0043c87693b2b72de9fa0df5d4d0e112b5b1a61f42f718,5,2837625936,0178, ,10,146988216, , , ,N,N
2022,19/10/2023 16:11:33,01,163342b903c0b68b3f0043c87693b2b72de9fa0df5d4d0e112b5b1a61f42f718,5,2837625936,0176, ,7,360492991, , , ,N,N
